	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
SNORD37	0	0	0	0	0	0	0	0	0	0	0	0
PIAS4	91	125	88	29	75	32	26	58	46	52	40	94
ZBTB7A	304	693	342	260	210	299	143	380	108	265	148	374
AC016586.1	0	2	0	0	0	0	0	0	0	0	0	0
MAP2K2	39	51	42	71	58	19	19	56	45	38	38	63
Metazoa_SRP	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L3	0	0	0	0	0	0	0	0	0	0	0	0
SIRT6	33	34	16	29	49	14	14	8	12	10	6	17
ANKRD24	0	0	0	0	0	0	0	0	0	0	0	0
EBI3	0	0	18	0	4	0	0	1	1	1	8	0
AC005578.1	0	0	0	0	0	0	0	0	1	1	1	0
YJU2	10	16	14	8	6	0	3	11	7	1	9	19
SHD	0	0	0	0	0	0	0	0	0	0	0	0
TMIGD2	0	5	0	0	0	0	1	5	1	2	0	6
FSD1	0	0	0	0	0	1	0	0	0	0	0	0
STAP2	0	0	0	0	0	0	0	0	0	0	0	0
AC104521.1	0	0	0	0	0	0	0	0	0	0	0	0
MPND	2	3	9	7	6	4	3	5	4	2	2	0
AC007292.3	0	1	0	0	2	0	0	0	0	0	1	0
EIF1P6	0	0	0	0	0	0	0	0	0	0	0	0
AC007292.2	4	12	5	2	3	0	1	4	8	4	3	2
SH3GL1	35	71	31	149	86	37	20	48	45	41	27	41
AC007292.1	0	1	0	0	0	0	0	0	0	0	0	0
CHAF1A	12	11	20	17	8	13	12	7	6	9	5	17
AC011498.3	0	0	0	0	0	0	0	0	0	0	1	0
UBXN6	78	78	44	74	62	13	20	30	37	46	31	66
MIR4746	0	0	0	0	0	0	0	0	0	0	0	0
AC011498.2	0	0	0	0	0	0	0	0	0	0	0	0
AC011498.7	0	2	1	0	1	0	0	0	0	0	0	0
AC011498.6	0	0	0	0	0	0	0	0	0	0	0	0
AC011498.1	5	3	8	6	4	3	2	3	4	3	0	0
HDGFL2	6	0	1	2	3	4	11	2	3	1	2	4
PLIN4	0	0	0	0	2	0	0	0	0	0	0	0
PLIN5	0	0	5	9	5	14	8	0	0	0	0	0
AC011498.4	0	0	0	0	1	0	1	0	0	1	0	0
LRG1	0	9	2	5	5	42	58	4	1	0	0	0
